time,a,b,m,n,injection_duration_[ms],vmn_[mV],vmn_std_[%],iab_[mA],iab_std_[%],r_[Ohm],r_std_[%],rab_[kOhm],sp_[mV],nb_stack,vab_[V],channel_mn,injection_id,battery_voltage_tx_[V],s_samples,strategy,cmd_id
2025-08-25T23:25:40.579478,26,27,28,29,500.0,-1400.3536931818182,-0.3513686671827901,10.794843750000002,1.741895051912029,-129.76321975240558,-1.7581673224191896,4.631841012057261,-139.44176136363632,2,50.0,0,86,11.95,132,safe,
2025-08-25T23:25:51.894627,27,28,29,30,500.0,-1452.465909090909,-0.3624103769242627,10.768011363636361,1.3964436907675655,-134.913069123723,-1.4249540260343498,4.643382915516815,51.54829545454544,2,50.0,0,87,11.95,132,safe,
2025-08-25T23:26:03.064615,28,29,30,31,500.0,-874.4691822303083,-0.35984857033308193,10.768256578947371,1.5981659122601906,-81.2293028728571,-1.6768878985334381,4.643277176154327,31.036263368984066,2,50.0,0,88,11.95,133,safe,
2025-08-25T23:26:11.480908,1,3,5,7,500.0,-340.9318181818182,-0.9258346151825229,2.1659878077651515,7.374446287516335,-158.2596136371898,-7.434311263538066,23.084155792912608,21.536931818181827,2,50.0,0,89,11.95,132,safe,
2025-08-25T23:26:21.104110,2,4,6,8,500.0,-796.0369318181819,-0.4082918557914863,3.91351444128788,4.596953736101708,-203.8369499808766,-4.611718185301579,12.776240065066869,0.849431818181813,2,50.0,0,90,11.95,132,safe,
2025-08-25T23:26:30.723914,3,5,7,9,500.0,-392.66335227272737,-0.852764520476324,3.3969448390151515,4.474452435458503,-115.83055314536053,-4.67119121104285,14.719108601862398,-40.26846590909085,2,50.0,0,91,11.95,132,safe,
2025-08-25T23:26:39.004787,4,6,8,10,500.0,-210.82812500000003,-1.548002814896201,2.018979640151515,8.226220046879153,-105.15598680083319,-8.671736021493828,24.76498475053851,38.288352272727344,2,50.0,0,92,11.95,132,safe,
2025-08-25T23:26:49.011761,5,7,9,11,500.0,-556.5639204545457,-0.5681733140545117,3.6168761837121215,4.54634147764128,-154.19818007419664,-4.595315917104765,13.824083949891621,14.166193181818187,2,50.0,0,93,11.95,132,safe,
2025-08-25T23:26:57.338120,6,8,10,12,500.0,-232.74573863636365,-1.2638471774586972,1.988793797348485,6.6015219405496195,-117.54864378654406,-6.847918247836801,25.140866824233555,-3.2258522727272307,2,50.0,0,94,11.95,132,safe,
2025-08-25T23:27:06.967486,7,9,11,13,500.0,-493.2642045454547,-0.7385636694814459,4.327868134469697,2.935879679743399,-114.06850980224301,-2.9194545105675,11.55303221966734,-231.1306818181818,2,50.0,0,95,11.95,132,safe,
2025-08-25T23:27:17.111537,8,10,12,14,500.0,-377.92127345854607,-0.8378670247606098,4.963193139097744,2.680339835065004,-76.19920717661654,-2.793281983388674,10.074159638504309,-306.5956300133689,2,50.0,0,96,11.95,133,safe,
2025-08-25T23:27:27.094919,9,11,13,15,500.0,-373.4573863636364,-0.8447789382668958,5.796813446969696,3.2316208089205016,-64.49258629652313,-3.370583723728453,8.62542851471918,118.67045454545456,2,50.0,0,97,11.95,132,safe,
2025-08-25T23:27:35.438053,17,19,21,23,500.0,-230.66021995359128,-1.3175919900703954,2.040861164122137,8.370877829605103,-113.80196650143026,-8.360652782557654,24.499461736539622,52.136186079545524,2,50.0,0,98,11.95,131,safe,
2025-08-25T23:27:43.743749,18,20,22,24,500.0,-437.0209839019341,-0.7581253222644665,2.6576139567669173,6.766989018238866,-165.19911143745358,-6.842737465777634,18.813868685738992,35.10335895721933,2,50.0,0,99,11.95,133,safe,
2025-08-25T23:27:52.085866,19,21,23,25,500.0,-440.35111770485713,-0.8552738017220409,3.3692234492481203,4.557760040107792,-130.96457502777375,-4.551220701573367,14.840214890216929,-31.988845254010684,2,50.0,0,100,11.95,133,safe,
2025-08-25T23:28:00.587372,20,22,24,26,500.0,-316.28835227272737,-1.0915195637787007,2.5362428977272726,5.577157102504344,-125.0879777053412,-5.5888280639439865,19.714200104731688,7.3764204545454675,2,50.0,0,101,11.95,132,safe,
2025-08-25T23:28:10.202594,21,23,25,27,500.0,-551.8878296384344,-0.6596033779132158,3.4711677631578945,4.584780982313277,-159.3325242740803,-4.725119797097964,14.40437438106204,54.76884191176471,2,50.0,0,102,11.95,133,safe,
2025-08-25T23:28:19.816056,22,24,26,28,500.0,-357.27043292689535,-0.9830627932968986,3.270663167938931,4.183174269626058,-109.41677609826276,-4.093733188056565,15.28741953317939,19.635786576704547,2,50.0,0,103,11.95,131,safe,
2025-08-25T23:28:31.157232,23,25,27,29,500.0,-417.2039966853968,-0.8579647609267037,4.615034069548872,2.556634646728558,-90.45778480196807,-2.5999111016499734,10.8341562048073,-321.56905915775394,2,50.0,0,104,11.95,133,safe,
